"Estacao";"Data";"Hora";"Precipitacao";"TempMaxima";"TempMinima";"Insolacao";"Evaporacao.Piche";"Temp.Comp.Media";"Umidade.Relativa.Media";"Velocidade.do.Vento.Media";"X";"estacao";"lat";"long";"alt"
82989;"01/01/1977";0;NA;28,7;NA;2,8;NA;23,06;77;5,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"01/01/1977";1200;NA;NA;19,2;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"02/01/1977";0;NA;31,3;NA;8,9;NA;24,22;62;7;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"02/01/1977";1200;0;NA;19,4;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"03/01/1977";0;NA;29,3;NA;4,9;NA;23,64;65,25;5;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"03/01/1977";1200;0;NA;18,7;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"04/01/1977";0;NA;29,7;NA;5,8;NA;24,14;66;5,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"04/01/1977";1200;0;NA;19,8;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"05/01/1977";0;NA;29,6;NA;3;NA;24,18;67,5;4,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"05/01/1977";1200;0;NA;18,9;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"06/01/1977";0;NA;30,2;NA;2;NA;24,54;66,5;4,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"06/01/1977";1200;0,1;NA;20,3;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"07/01/1977";0;NA;30,2;NA;8,6;NA;23,88;69;7,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"07/01/1977";1200;0;NA;19,8;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"08/01/1977";0;NA;30,8;NA;9,7;NA;23,46;69,25;8,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"08/01/1977";1200;0;NA;18,9;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"09/01/1977";0;NA;27,5;NA;3,6;NA;22,84;80,75;4,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"09/01/1977";1200;0;NA;19,5;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"10/01/1977";0;NA;30,6;NA;8,4;NA;23,98;66;7,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"10/01/1977";1200;9,7;NA;19,3;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"11/01/1977";0;NA;30,4;NA;9,3;NA;23,74;62,25;9,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
